商品编号,名称,分类,价格,库存,描述,主图文件,详情图1,详情图2,MinIO主图URL,状态
1030,记忆棉办公坐垫,家居,79,200,慢回弹记忆棉，中空透气，矫正坐姿，久坐不累,家居/记忆棉办公坐垫-cover.png,家居/记忆棉办公坐垫-detail.png,家居/记忆棉办公坐垫-scene.png,https://images.unsplash.com/photo-0087-unique-bacon-mall?w=800,active
1031,全遮光隔热窗帘 1.5×2.4m,家居,139,200,三层梭织面料，遮光率99%，隔音隔热，含挂钩,家居/全遮光隔热窗帘-1.5×2.4m-cover.png,家居/全遮光隔热窗帘-1.5×2.4m-detail.png,家居/全遮光隔热窗帘-1.5×2.4m-scene.png,https://images.unsplash.com/photo-0090-unique-bacon-mall?w=800,active
1032,可升降移动电脑桌,家居,399,200,气动升降72-115cm，万向滚轮带刹车，站坐两用,家居/可升降移动电脑桌-cover.png,家居/可升降移动电脑桌-detail.png,家居/可升降移动电脑桌-scene.png,https://images.unsplash.com/photo-0093-unique-bacon-mall?w=800,active
1033,收纳箱三件套 66L,家居,99,200,可折叠牛津布+钢架，大容量，前开口设计方便取物,家居/收纳箱三件套-66L-cover.png,家居/收纳箱三件套-66L-detail.png,家居/收纳箱三件套-66L-scene.png,https://images.unsplash.com/photo-0096-unique-bacon-mall?w=800,active
1034,浴室防滑垫 40×70cm,家居,49,200,硅藻泥吸水速干，底部防滑，可机洗，多色可选,家居/浴室防滑垫-40×70cm-cover.png,家居/浴室防滑垫-40×70cm-detail.png,家居/浴室防滑垫-40×70cm-scene.png,https://images.unsplash.com/photo-0099-unique-bacon-mall?w=800,active
1035,珊瑚绒午休毯 150×200cm,家居,69,200,超柔法兰绒，办公室空调毯，沙发追剧好伴侣,家居/珊瑚绒午休毯-150×200cm-cover.png,家居/珊瑚绒午休毯-150×200cm-detail.png,家居/珊瑚绒午休毯-150×200cm-scene.png,https://images.unsplash.com/photo-0102-unique-bacon-mall?w=800,active
1036,加厚防滑瑜伽垫 10mm,运动,89,200,TPE环保材质，双面防滑纹理，含收纳绑带+背包,运动/加厚防滑瑜伽垫-10mm-cover.png,运动/加厚防滑瑜伽垫-10mm-detail.png,运动/加厚防滑瑜伽垫-10mm-scene.png,https://images.unsplash.com/photo-0105-unique-bacon-mall?w=800,active
1037,无绳负重跳绳,运动,45,200,配重球设计模拟真实手感，室内静音，液晶计数显示,运动/无绳负重跳绳-cover.png,运动/无绳负重跳绳-detail.png,运动/无绳负重跳绳-scene.png,https://images.unsplash.com/photo-0108-unique-bacon-mall?w=800,active
1038,速干运动T恤 男款,运动,79,200,透气速干面料，四针六线无骨缝制，反光LOGO,运动/速干运动T恤-男款-cover.png,运动/速干运动T恤-男款-detail.png,运动/速干运动T恤-男款-scene.png,https://images.unsplash.com/photo-0111-unique-bacon-mall?w=800,active
1039,弹簧支撑运动护膝 一对,运动,69,200,四根弹簧支撑，硅胶防滑条，篮球跑步健身适用,运动/弹簧支撑运动护膝-一对-cover.png,运动/弹簧支撑运动护膝-一对-detail.png,运动/弹簧支撑运动护膝-一对-scene.png,https://images.unsplash.com/photo-0114-unique-bacon-mall?w=800,active
1040,Tritan运动水壶 750ml,运动,55,200,BPA-free材质，弹盖一键开启，防漏锁扣，健身携带,运动/Tritan运动水壶-750ml-cover.png,运动/Tritan运动水壶-750ml-detail.png,运动/Tritan运动水壶-750ml-scene.png,https://images.unsplash.com/photo-0117-unique-bacon-mall?w=800,active
1041,全碳素羽毛球拍 一对,运动,189,200,碳纤维材质85g超轻，已穿线，含球拍包+3只球,运动/全碳素羽毛球拍-一对-cover.png,运动/全碳素羽毛球拍-一对-detail.png,运动/全碳素羽毛球拍-一对-scene.png,https://images.unsplash.com/photo-0120-unique-bacon-mall?w=800,active
1042,弹力带套装 5阻力级,运动,35,200,天然乳胶材质，5条不同阻力，含收纳袋+训练指南,运动/弹力带套装-5阻力级-cover.png,运动/弹力带套装-5阻力级-detail.png,运动/弹力带套装-5阻力级-scene.png,https://images.unsplash.com/photo-0123-unique-bacon-mall?w=800,active
1043,可折叠铝合金登山杖,运动,149,200,7075铝合金，三节伸缩，EVA握把，含杖尖保护套,运动/可折叠铝合金登山杖-cover.png,运动/可折叠铝合金登山杖-detail.png,运动/可折叠铝合金登山杖-scene.png,https://images.unsplash.com/photo-0126-unique-bacon-mall?w=800,active
1044,超薄隐形运动腰包,运动,29,200,防水面料，双拉链设计，可放手机钥匙，跑步不晃动,运动/超薄隐形运动腰包-cover.png,运动/超薄隐形运动腰包-detail.png,运动/超薄隐形运动腰包-scene.png,https://images.unsplash.com/photo-0129-unique-bacon-mall?w=800,active
1045,防雾泳镜 高清款,运动,79,200,双层防雾镜片，UV防护，硅胶密封圈，可调节鼻架,运动/防雾泳镜-高清款-cover.png,运动/防雾泳镜-高清款-detail.png,运动/防雾泳镜-高清款-scene.png,https://images.unsplash.com/photo-0132-unique-bacon-mall?w=800,active
1046,透气健身手套 半指款,运动,39,200,掌心加厚缓震，透气网眼面料，触屏指尖，引体向上,运动/透气健身手套-半指款-cover.png,运动/透气健身手套-半指款-detail.png,运动/透气健身手套-半指款-scene.png,https://images.unsplash.com/photo-0135-unique-bacon-mall?w=800,active
1047,明前龙井绿茶 250g礼盒,食品,168,200,杭州原产明前采摘，一芽一叶，栗香回甘，送礼自饮皆可,食品/明前龙井绿茶-250g礼盒-cover.png,食品/明前龙井绿茶-250g礼盒-detail.png,食品/明前龙井绿茶-250g礼盒-scene.png,https://images.unsplash.com/photo-0138-unique-bacon-mall?w=800,active
1048,72%黑巧克力 12片礼盒,食品,79,200,比利时进口可可豆，丝滑醇厚，独立包装，办公室零食,食品/72%黑巧克力-12片礼盒-cover.png,食品/72%黑巧克力-12片礼盒-detail.png,食品/72%黑巧克力-12片礼盒-scene.png,https://images.unsplash.com/photo-0141-unique-bacon-mall?w=800,active
1049,澳洲进口即食燕麦片 1kg,食品,49,200,高纤维低脂肪，免煮即食，健身减脂早餐,食品/澳洲进口即食燕麦片-1kg-cover.png,食品/澳洲进口即食燕麦片-1kg-detail.png,食品/澳洲进口即食燕麦片-1kg-scene.png,https://images.unsplash.com/photo-0144-unique-bacon-mall?w=800,active
1050,新疆红枣枸杞茶 30包,食品,49,200,独立三角包，和田红枣+宁夏枸杞，养生暖宫,食品/新疆红枣枸杞茶-30包-cover.png,食品/新疆红枣枸杞茶-30包-detail.png,食品/新疆红枣枸杞茶-30包-scene.png,https://images.unsplash.com/photo-0147-unique-bacon-mall?w=800,active
1051,云南小粒速溶黑咖啡 50条,食品,69,200,冻干技术保留原香，冷热水即溶，零糖零脂,食品/云南小粒速溶黑咖啡-50条-cover.png,食品/云南小粒速溶黑咖啡-50条-detail.png,食品/云南小粒速溶黑咖啡-50条-scene.png,https://images.unsplash.com/photo-0150-unique-bacon-mall?w=800,active
1052,内蒙古风干牛肉干 250g,食品,65,200,精选牛后腿肉，传统五香口味，独立小包装,食品/内蒙古风干牛肉干-250g-cover.png,食品/内蒙古风干牛肉干-250g-detail.png,食品/内蒙古风干牛肉干-250g-scene.png,https://images.unsplash.com/photo-0153-unique-bacon-mall?w=800,active
1053,手冲咖啡套装 入门款,食品,239,200,玻璃分享壶+陶瓷滤杯+不锈钢滤网+量勺,食品/手冲咖啡套装-入门款-cover.png,食品/手冲咖啡套装-入门款-detail.png,食品/手冲咖啡套装-入门款-scene.png,https://images.unsplash.com/photo-0156-unique-bacon-mall?w=800,active
1054,混合坚果礼盒 1.2kg 6罐,食品,199,200,夏威夷果+碧根果+腰果+开心果+巴旦木+核桃,食品/混合坚果礼盒-1.2kg-6罐-cover.png,食品/混合坚果礼盒-1.2kg-6罐-detail.png,食品/混合坚果礼盒-1.2kg-6罐-scene.png,https://images.unsplash.com/photo-0159-unique-bacon-mall?w=800,active
1055,蒟蒻果冻 0脂低卡 12枚,食品,29,200,果汁含量≥25%，葡萄+白桃+荔枝三口味，办公室零食,食品/蒟蒻果冻-0脂低卡-12枚-cover.png,食品/蒟蒻果冻-0脂低卡-12枚-detail.png,食品/蒟蒻果冻-0脂低卡-12枚-scene.png,https://images.unsplash.com/photo-0162-unique-bacon-mall?w=800,active
1056,全麦面包粉 高筋套装 1kg,食品,39,200,高筋粉+全麦粉+酵母三件套，家庭烘焙入门,食品/全麦面包粉-高筋套装-1kg-cover.png,食品/全麦面包粉-高筋套装-1kg-detail.png,食品/全麦面包粉-高筋套装-1kg-scene.png,https://images.unsplash.com/photo-0165-unique-bacon-mall?w=800,active
1057,新西兰麦卢卡蜂蜜 UMF10+,食品,279,200,原装进口，天然纯正无添加，250g玻璃罐装,食品/新西兰麦卢卡蜂蜜-UMF10+-cover.png,食品/新西兰麦卢卡蜂蜜-UMF10+-detail.png,食品/新西兰麦卢卡蜂蜜-UMF10+-scene.png,https://images.unsplash.com/photo-0168-unique-bacon-mall?w=800,active
1058,氨基酸温和洁面乳 120g,美妆,69,200,弱酸性配方，泡沫细腻丰富，洗后不紧绷，适合所有肤质,美妆/氨基酸温和洁面乳-120g-cover.png,美妆/氨基酸温和洁面乳-120g-detail.png,美妆/氨基酸温和洁面乳-120g-scene.png,https://images.unsplash.com/photo-0171-unique-bacon-mall?w=800,active
1059,清爽防晒霜 SPF50+ PA++++,美妆,99,200,物理+化学双重防晒，清爽不油腻，面部全身通用 60ml,美妆/清爽防晒霜-SPF50+-PA++++-cover.png,美妆/清爽防晒霜-SPF50+-PA++++-detail.png,美妆/清爽防晒霜-SPF50+-PA++++-scene.png,https://images.unsplash.com/photo-0174-unique-bacon-mall?w=800,active
1060,丝绒哑光口红三支套装,美妆,109,200,豆沙色+正红+橘棕，显白不挑皮，滋润不拔干,美妆/丝绒哑光口红三支套装-cover.png,美妆/丝绒哑光口红三支套装-detail.png,美妆/丝绒哑光口红三支套装-scene.png,https://images.unsplash.com/photo-0177-unique-bacon-mall?w=800,active
1061,神经酰胺保湿面霜 50g,美妆,139,200,修护皮肤屏障，深层锁水，适合干性和敏感肌,美妆/神经酰胺保湿面霜-50g-cover.png,美妆/神经酰胺保湿面霜-50g-detail.png,美妆/神经酰胺保湿面霜-50g-scene.png,https://images.unsplash.com/photo-0180-unique-bacon-mall?w=800,active
1062,玻尿酸补水面膜 20片装,美妆,59,200,三重玻尿酸精华，蚕丝膜布，每日一片水润透亮,美妆/玻尿酸补水面膜-20片装-cover.png,美妆/玻尿酸补水面膜-20片装-detail.png,美妆/玻尿酸补水面膜-20片装-scene.png,https://images.unsplash.com/photo-0183-unique-bacon-mall?w=800,active
1063,烟酰胺亮肤精华液 30ml,美妆,169,200,5%烟酰胺+维C衍生物，淡化痘印提亮肤色,美妆/烟酰胺亮肤精华液-30ml-cover.png,美妆/烟酰胺亮肤精华液-30ml-detail.png,美妆/烟酰胺亮肤精华液-30ml-scene.png,https://images.unsplash.com/photo-0186-unique-bacon-mall?w=800,active
1064,12色大地玫瑰眼影盘,美妆,79,200,哑光+珠光+闪片三质地主，显色服帖，日常通勤百搭,美妆/12色大地玫瑰眼影盘-cover.png,美妆/12色大地玫瑰眼影盘-detail.png,美妆/12色大地玫瑰眼影盘-scene.png,https://images.unsplash.com/photo-0189-unique-bacon-mall?w=800,active
1065,三合一温和卸妆水 500ml,美妆,49,200,眼唇面部通用，无油配方，敏感肌可用，大瓶实惠,美妆/三合一温和卸妆水-500ml-cover.png,美妆/三合一温和卸妆水-500ml-detail.png,美妆/三合一温和卸妆水-500ml-scene.png,https://images.unsplash.com/photo-0192-unique-bacon-mall?w=800,active
1066,极细双头眉笔 防水持久,美妆,29,200,0.5mm极细笔芯，自带眉刷，三色可选，新手友好,美妆/极细双头眉笔-防水持久-cover.png,美妆/极细双头眉笔-防水持久-detail.png,美妆/极细双头眉笔-防水持久-scene.png,https://images.unsplash.com/photo-0195-unique-bacon-mall?w=800,active
1067,香氛氨基酸沐浴露 500ml,美妆,59,200,持久留香12小时，温和清洁不假滑，泡沫绵密,美妆/香氛氨基酸沐浴露-500ml-cover.png,美妆/香氛氨基酸沐浴露-500ml-detail.png,美妆/香氛氨基酸沐浴露-500ml-scene.png,https://images.unsplash.com/photo-0198-unique-bacon-mall?w=800,active
1068,男士控油洁面套装 三件套,美妆,149,200,洁面乳+爽肤水+保湿乳，控油清爽适合油性肌肤,美妆/男士控油洁面套装-三件套-cover.png,美妆/男士控油洁面套装-三件套-detail.png,美妆/男士控油洁面套装-三件套-scene.png,https://images.unsplash.com/photo-0201-unique-bacon-mall?w=800,active
1069,《深入理解计算机系统》原书第3版,图书,139,200,CS经典黑皮书，全面讲解系统底层原理，程序员必读,图书/深入理解计算机系统-原书第3版-cover.png,图书/深入理解计算机系统-原书第3版-detail.png,图书/深入理解计算机系统-原书第3版-scene.png,https://images.unsplash.com/photo-0204-unique-bacon-mall?w=800,active
1070,《算法导论》原书第4版,图书,128,200,MIT经典教材，全面覆盖算法设计与分析，程序员面试必备,图书/算法导论-原书第4版-cover.png,图书/算法导论-原书第4版-detail.png,图书/算法导论-原书第4版-scene.png,https://images.unsplash.com/photo-0207-unique-bacon-mall?w=800,active
1071,《设计模式：可复用面向对象软件的基础》,图书,79,200,GoF四人帮经典，23种设计模式详解，软件工程里程碑,图书/设计模式：可复用面向对象软件的基础-cover.png,图书/设计模式：可复用面向对象软件的基础-detail.png,图书/设计模式：可复用面向对象软件的基础-scene.png,https://images.unsplash.com/photo-0210-unique-bacon-mall?w=800,active
1072,《JavaScript高级程序设计》第4版,图书,99,200,前端红宝书，ES6+全面讲解，Web开发者必读,图书/JavaScript高级程序设计-第4版-cover.png,图书/JavaScript高级程序设计-第4版-detail.png,图书/JavaScript高级程序设计-第4版-scene.png,https://images.unsplash.com/photo-0213-unique-bacon-mall?w=800,active
1073,《Python编程：从入门到实践》第3版,图书,89,200,零基础学Python，含数据可视化+Django Web项目实战,图书/Python编程：从入门到实践-第3版-cover.png,图书/Python编程：从入门到实践-第3版-detail.png,图书/Python编程：从入门到实践-第3版-scene.png,https://images.unsplash.com/photo-0216-unique-bacon-mall?w=800,active
1074,《人性的弱点》全集,图书,35,200,戴尔·卡耐基经典人际关系著作，提升沟通与情商,图书/人性的弱点-全集-cover.png,图书/人性的弱点-全集-detail.png,图书/人性的弱点-全集-scene.png,https://images.unsplash.com/photo-0219-unique-bacon-mall?w=800,active
1075,《思考，快与慢》,图书,69,200,诺贝尔经济学奖得主丹尼尔·卡尼曼，探索人类认知偏差,图书/思考，快与慢-cover.png,图书/思考，快与慢-detail.png,图书/思考，快与慢-scene.png,https://images.unsplash.com/photo-0222-unique-bacon-mall?w=800,active
1076,《三体》全集 典藏版,图书,99,200,刘慈欣科幻巨著三部曲，雨果奖获奖作品，中国科幻巅峰,图书/三体-全集-典藏版-cover.png,图书/三体-全集-典藏版-detail.png,图书/三体-全集-典藏版-scene.png,https://images.unsplash.com/photo-0225-unique-bacon-mall?w=800,active
1077,《百年孤独》50周年纪念版,图书,55,200,加西亚·马尔克斯魔幻现实主义经典，拉美文学巅峰,图书/百年孤独-50周年纪念版-cover.png,图书/百年孤独-50周年纪念版-detail.png,图书/百年孤独-50周年纪念版-scene.png,https://images.unsplash.com/photo-0228-unique-bacon-mall?w=800,active
1078,《小王子》中英法三语珍藏版,图书,39,200,圣埃克苏佩里永恒经典，精装全彩插图，适合全年龄,图书/小王子-中英法三语珍藏版-cover.png,图书/小王子-中英法三语珍藏版-detail.png,图书/小王子-中英法三语珍藏版-scene.png,https://images.unsplash.com/photo-0231-unique-bacon-mall?w=800,active
